         Time         	W	
 09/11/2010 00:37:16	-64,3760	
 09/11/2010 00:37:17	-63,9560	
 09/11/2010 00:37:18	-64,8350	
 09/11/2010 00:37:19	-65,6550	
 09/11/2010 00:37:20	-65,8820	
 09/11/2010 00:37:21	-67,3370	
 09/11/2010 00:37:22	-68,4620	
 09/11/2010 00:37:23	-69,3480	
 09/11/2010 00:37:24	-69,5680	
 09/11/2010 00:37:25	-68,5300	
 09/11/2010 00:37:26	-66,1900	
 09/11/2010 00:37:27	-65,0140	
 09/11/2010 00:37:28	-65,2110	
 09/11/2010 00:37:29	-65,1480	
 09/11/2010 00:37:30	-65,0330	
 09/11/2010 00:37:31	-64,5690	
 09/11/2010 00:37:32	-71,7770	
 09/11/2010 00:37:33	-408,900	
 09/11/2010 00:37:34	-408,080	
 09/11/2010 00:37:35	-407,020	
 09/11/2010 00:37:36	-405,860	
 09/11/2010 00:37:37	-404,420	
 09/11/2010 00:37:38	-404,180	
 09/11/2010 00:37:39	-404,110	
 09/11/2010 00:37:40	-404,240	
 09/11/2010 00:37:41	-404,480	
 09/11/2010 00:37:42	-404,260	
 09/11/2010 00:37:43	-404,540	
 09/11/2010 00:37:44	-404,160	
 09/11/2010 00:37:45	-404,400	
 09/11/2010 00:37:46	-404,290	
 09/11/2010 00:37:47	-403,110	
 09/11/2010 00:37:48	-404,070	
 09/11/2010 00:37:49	-404,500	
 09/11/2010 00:37:50	-404,890	
 09/11/2010 00:37:51	-406,210	
 09/11/2010 00:37:52	-405,840	
 09/11/2010 00:37:53	-404,480	
 09/11/2010 00:37:54	-404,940	
 09/11/2010 00:37:55	-405,030	
 09/11/2010 00:37:56	-404,950	
 09/11/2010 00:37:57	-405,960	
 09/11/2010 00:37:58	-405,600	
 09/11/2010 00:37:59	-405,220	
 09/11/2010 00:38:00	-405,230	
 09/11/2010 00:38:01	-405,140	
 09/11/2010 00:38:02	-404,380	
 09/11/2010 00:38:03	-404,810	
 09/11/2010 00:38:04	-404,870	
 09/11/2010 00:38:05	-404,950	
 09/11/2010 00:38:06	-406,090	
 09/11/2010 00:38:07	-406,020	
 09/11/2010 00:38:08	-406,250	
 09/11/2010 00:38:09	-406,550	
 09/11/2010 00:38:10	-406,740	
 09/11/2010 00:38:11	-406,410	
 09/11/2010 00:38:12	-406,580	
 09/11/2010 00:38:13	-406,310	
 09/11/2010 00:38:14	-406,260	
 09/11/2010 00:38:15	-406,540	
 09/11/2010 00:38:16	-406,390	
 09/11/2010 00:38:17	-406,630	
 09/11/2010 00:38:18	-406,360	
 09/11/2010 00:38:19	-406,620	
 09/11/2010 00:38:20	-406,570	
 09/11/2010 00:38:21	-406,650	
 09/11/2010 00:38:22	-406,640	
 09/11/2010 00:38:23	-406,690	
 09/11/2010 00:38:24	-406,810	
 09/11/2010 00:38:25	-406,470	
 09/11/2010 00:38:26	-406,680	
 09/11/2010 00:38:27	-406,730	
 09/11/2010 00:38:28	-406,750	
 09/11/2010 00:38:29	-407,100	
 09/11/2010 00:38:30	-407,010	
 09/11/2010 00:38:31	-406,820	
 09/11/2010 00:38:32	-406,930	
 09/11/2010 00:38:33	-406,460	
 09/11/2010 00:38:34	-406,290	
 09/11/2010 00:38:35	-405,860	
 09/11/2010 00:38:36	-404,990	
 09/11/2010 00:38:37	-405,190	
 09/11/2010 00:38:38	-405,280	
 09/11/2010 00:38:39	-405,270	
 09/11/2010 00:38:40	-405,920	
 09/11/2010 00:38:41	-405,660	
 09/11/2010 00:38:42	-405,920	
 09/11/2010 00:38:43	-406,720	
 09/11/2010 00:38:44	-407,050	
 09/11/2010 00:38:45	-406,970	
 09/11/2010 00:38:46	-407,150	
 09/11/2010 00:38:47	-406,750	
 09/11/2010 00:38:48	-406,550	
 09/11/2010 00:38:49	-407,410	
 09/11/2010 00:38:50	-406,840	
 09/11/2010 00:38:51	-406,170	
 09/11/2010 00:38:52	-406,100	
 09/11/2010 00:38:53	-406,230	
 09/11/2010 00:38:54	-405,480	
 09/11/2010 00:38:55	-405,830	
 09/11/2010 00:38:56	-405,480	
 09/11/2010 00:38:57	-404,060	
 09/11/2010 00:38:58	-404,730	
 09/11/2010 00:38:59	-405,370	
 09/11/2010 00:39:00	-405,260	
 09/11/2010 00:39:01	-406,770	
 09/11/2010 00:39:02	-407,380	
 09/11/2010 00:39:03	-406,910	
 09/11/2010 00:39:04	-407,240	
 09/11/2010 00:39:05	-407,210	
 09/11/2010 00:39:06	-407,210	
 09/11/2010 00:39:07	-407,340	
 09/11/2010 00:39:08	-407,440	
 09/11/2010 00:39:09	-406,850	
 09/11/2010 00:39:10	-406,050	
 09/11/2010 00:39:11	-406,250	
 09/11/2010 00:39:12	-406,570	
 09/11/2010 00:39:13	-406,070	
 09/11/2010 00:39:14	-406,720	
 09/11/2010 00:39:15	-406,800	
 09/11/2010 00:39:16	-406,460	
 09/11/2010 00:39:17	-407,010	
 09/11/2010 00:39:18	-406,940	
 09/11/2010 00:39:19	-406,410	
 09/11/2010 00:39:20	-406,080	
 09/11/2010 00:39:21	-405,800	
 09/11/2010 00:39:22	-405,190	
 09/11/2010 00:39:23	-405,680	
 09/11/2010 00:39:24	-406,170	
 09/11/2010 00:39:25	-405,940	
 09/11/2010 00:39:26	-406,360	
 09/11/2010 00:39:27	-406,490	
 09/11/2010 00:39:28	-406,340	
 09/11/2010 00:39:29	-407,080	
 09/11/2010 00:39:30	-407,620	
 09/11/2010 00:39:31	-407,520	
 09/11/2010 00:39:32	-407,560	
 09/11/2010 00:39:33	-407,770	
 09/11/2010 00:39:34	-407,150	
 09/11/2010 00:39:35	-406,960	
 09/11/2010 00:39:36	-407,270	
 09/11/2010 00:39:37	-407,180	
 09/11/2010 00:39:38	-407,260	
 09/11/2010 00:39:39	-407,350	
 09/11/2010 00:39:40	-406,980	
 09/11/2010 00:39:41	-406,610	
 09/11/2010 00:39:42	-406,660	
 09/11/2010 00:39:43	-406,300	
 09/11/2010 00:39:44	-406,400	
 09/11/2010 00:39:45	-406,600	
 09/11/2010 00:39:46	-406,670	
 09/11/2010 00:39:47	-406,300	
 09/11/2010 00:39:48	-406,970	
 09/11/2010 00:39:49	-407,660	
 09/11/2010 00:39:50	-408,130	
 09/11/2010 00:39:51	-409,210	
 09/11/2010 00:39:52	-408,610	
 09/11/2010 00:39:53	-407,580	
 09/11/2010 00:39:54	-408,080	
 09/11/2010 00:39:55	-407,980	
 09/11/2010 00:39:56	-407,080	
 09/11/2010 00:39:57	-408,200	
 09/11/2010 00:39:58	-407,320	
 09/11/2010 00:39:59	-406,570	
 09/11/2010 00:40:00	-408,910	
 09/11/2010 00:40:01	-408,270	
 09/11/2010 00:40:02	-407,820	
 09/11/2010 00:40:03	-408,440	
 09/11/2010 00:40:04	-406,970	
 09/11/2010 00:40:05	-406,440	
 09/11/2010 00:40:06	-407,000	
 09/11/2010 00:40:07	-406,680	
 09/11/2010 00:40:08	-406,980	
 09/11/2010 00:40:09	-407,010	
 09/11/2010 00:40:10	-406,660	
 09/11/2010 00:40:11	-407,270	
 09/11/2010 00:40:12	-407,130	
 09/11/2010 00:40:13	-407,420	
 09/11/2010 00:40:14	-407,650	
 09/11/2010 00:40:15	-406,920	
 09/11/2010 00:40:16	-406,370	
 09/11/2010 00:40:17	-406,370	
 09/11/2010 00:40:18	-406,080	
 09/11/2010 00:40:19	-406,560	
 09/11/2010 00:40:20	-407,150	
