         Time         	W	
 03/01/2011 06:37:46	-63,6550	
 03/01/2011 06:37:47	-63,1090	
 03/01/2011 06:37:48	-61,7920	
 03/01/2011 06:37:49	-61,8420	
 03/01/2011 06:37:50	-62,1320	
 03/01/2011 06:37:51	-63,0090	
 03/01/2011 06:37:52	-63,2560	
 03/01/2011 06:37:53	-66,5990	
 03/01/2011 06:37:54	-69,2560	
 03/01/2011 06:37:55	-69,5830	
 03/01/2011 06:37:56	-69,9640	
 03/01/2011 06:37:57	-66,9840	
 03/01/2011 06:37:58	-65,7320	
 03/01/2011 06:37:59	-67,5220	
 03/01/2011 06:38:00	-68,1230	
 03/01/2011 06:38:01	-67,4240	
 03/01/2011 06:38:02	-65,6380	
 03/01/2011 06:38:03	-66,4880	
 03/01/2011 06:38:04	-67,1790	
 03/01/2011 06:38:05	-69,3340	
 03/01/2011 06:38:06	-68,8070	
 03/01/2011 06:38:07	-66,5740	
 03/01/2011 06:38:08	-65,5750	
 03/01/2011 06:38:09	-64,3050	
 03/01/2011 06:38:10	-64,1400	
 03/01/2011 06:38:11	-62,9960	
 03/01/2011 06:38:12	-63,3540	
 03/01/2011 06:38:13	-63,7270	
 03/01/2011 06:38:14	-65,5580	
 03/01/2011 06:38:15	-66,2070	
 03/01/2011 06:38:16	-66,2310	
 03/01/2011 06:38:17	-66,7910	
 03/01/2011 06:38:18	-65,4610	
 03/01/2011 06:38:19	-65,1020	
 03/01/2011 06:38:20	-64,7790	
 03/01/2011 06:38:21	-62,5830	
 03/01/2011 06:38:22	-62,3380	
 03/01/2011 06:38:23	-62,0360	
 03/01/2011 06:38:24	-63,7720	
 03/01/2011 06:38:25	-64,5310	
 03/01/2011 06:38:26	-65,2510	
 03/01/2011 06:38:27	-64,9300	
 03/01/2011 06:38:28	-62,9130	
 03/01/2011 06:38:29	-62,8400	
 03/01/2011 06:38:30	-62,2470	
 03/01/2011 06:38:31	-62,8320	
 03/01/2011 06:38:32	-62,9370	
 03/01/2011 06:38:33	-64,0520	
 03/01/2011 06:38:34	-66,0470	
 03/01/2011 06:38:35	-65,7230	
 03/01/2011 06:38:36	-65,0580	
 03/01/2011 06:38:37	-65,3350	
 03/01/2011 06:38:38	-64,3760	
 03/01/2011 06:38:39	-64,8400	
 03/01/2011 06:38:40	-65,2770	
 03/01/2011 06:38:41	-64,3020	
 03/01/2011 06:38:42	-65,0830	
 03/01/2011 06:38:43	-65,2990	
 03/01/2011 06:38:44	-66,6920	
 03/01/2011 06:38:45	-68,3910	
 03/01/2011 06:38:46	-68,0600	
 03/01/2011 06:38:47	-68,2160	
 03/01/2011 06:38:48	-68,3470	
 03/01/2011 06:38:49	-66,5680	
 03/01/2011 06:38:50	-66,4330	
 03/01/2011 06:38:51	-64,6420	
 03/01/2011 06:38:52	-64,6960	
 03/01/2011 06:38:53	-64,8390	
 03/01/2011 06:38:54	-67,0040	
 03/01/2011 06:38:55	-68,7700	
 03/01/2011 06:38:56	-67,8850	
 03/01/2011 06:38:57	-67,3170	
 03/01/2011 06:38:58	-65,7950	
 03/01/2011 06:38:59	-65,5680	
 03/01/2011 06:39:00	-66,8410	
 03/01/2011 06:39:01	-67,1870	
 03/01/2011 06:39:02	-66,2090	
 03/01/2011 06:39:03	-65,7060	
 03/01/2011 06:39:04	-65,2040	
 03/01/2011 06:39:05	-65,9980	
 03/01/2011 06:39:06	-66,2440	
 03/01/2011 06:39:07	-66,0700	
 03/01/2011 06:39:08	-66,5190	
 03/01/2011 06:39:09	-64,7950	
 03/01/2011 06:39:10	-65,3410	
 03/01/2011 06:39:11	-65,0340	
 03/01/2011 06:39:12	-64,9440	
 03/01/2011 06:39:13	-65,6570	
 03/01/2011 06:39:14	-65,1980	
 03/01/2011 06:39:15	-67,6990	
 03/01/2011 06:39:16	-67,1950	
 03/01/2011 06:39:17	-66,5560	
 03/01/2011 06:39:18	-66,7760	
 03/01/2011 06:39:19	-65,5850	
 03/01/2011 06:39:20	-66,3560	
 03/01/2011 06:39:21	-68,7170	
 03/01/2011 06:39:22	-67,8310	
 03/01/2011 06:39:23	-68,5550	
 03/01/2011 06:39:24	-68,6670	
