timestamp, power.draw [W], utilization.gpu [%]
2026/02/12 17:10:43.948, 11.14 W, 0 %
2026/02/12 17:10:44.952, 10.86 W, 0 %
2026/02/12 17:10:45.952, 10.63 W, 0 %
2026/02/12 17:10:46.952, 10.16 W, 0 %
2026/02/12 17:10:47.952, 10.65 W, 0 %
2026/02/12 17:10:48.952, 10.45 W, 0 %
2026/02/12 17:10:49.952, 10.74 W, 0 %
2026/02/12 17:10:50.952, 10.63 W, 0 %
2026/02/12 17:10:51.953, 10.35 W, 0 %
2026/02/12 17:10:52.953, 9.67 W, 0 %
2026/02/12 17:10:53.953, 10.44 W, 18 %
2026/02/12 17:10:54.953, 9.89 W, 0 %
2026/02/12 17:10:55.953, 10.85 W, 0 %
2026/02/12 17:10:56.953, 10.26 W, 0 %
2026/02/12 17:10:57.953, 10.28 W, 0 %
2026/02/12 17:10:58.953, 9.93 W, 0 %
2026/02/12 17:10:59.954, 10.38 W, 0 %
2026/02/12 17:11:00.954, 10.88 W, 1 %
2026/02/12 17:11:01.954, 11.14 W, 0 %
2026/02/12 17:11:02.954, 10.30 W, 0 %
2026/02/12 17:11:03.954, 10.05 W, 0 %
2026/02/12 17:11:04.954, 9.98 W, 0 %
2026/02/12 17:11:05.954, 10.09 W, 0 %
2026/02/12 17:11:06.954, 10.51 W, 0 %
2026/02/12 17:11:07.955, 10.45 W, 0 %
2026/02/12 17:11:08.955, 10.82 W, 0 %
2026/02/12 17:11:09.955, 10.97 W, 0 %
2026/02/12 17:11:10.955, 11.31 W, 0 %
2026/02/12 17:11:11.955, 11.15 W, 0 %
2026/02/12 17:11:12.955, 10.72 W, 0 %
2026/02/12 17:11:13.955, 10.34 W, 0 %
2026/02/12 17:11:14.955, 10.35 W, 0 %
2026/02/12 17:11:15.956, 10.01 W, 0 %
2026/02/12 17:11:16.956, 10.02 W, 0 %
2026/02/12 17:11:17.956, 10.67 W, 0 %
2026/02/12 17:11:18.956, 10.67 W, 0 %
2026/02/12 17:11:19.956, 10.65 W, 0 %
2026/02/12 17:11:20.956, 11.20 W, 0 %
2026/02/12 17:11:21.956, 11.61 W, 0 %
2026/02/12 17:11:22.957, 11.47 W, 0 %
2026/02/12 17:11:23.957, 11.13 W, 0 %
2026/02/12 17:11:24.957, 10.44 W, 0 %
2026/02/12 17:11:25.957, 10.54 W, 0 %
2026/02/12 17:11:26.957, 10.42 W, 0 %
2026/02/12 17:11:27.957, 10.56 W, 0 %
2026/02/12 17:11:28.958, 11.12 W, 0 %
2026/02/12 17:11:29.958, 10.54 W, 0 %
2026/02/12 17:11:30.958, 10.83 W, 0 %
2026/02/12 17:11:31.958, 10.75 W, 0 %
2026/02/12 17:11:32.958, 10.80 W, 0 %
2026/02/12 17:11:33.958, 10.58 W, 0 %
2026/02/12 17:11:34.958, 10.33 W, 0 %
2026/02/12 17:11:35.958, 10.56 W, 0 %
2026/02/12 17:11:36.959, 10.93 W, 0 %
2026/02/12 17:11:37.959, 10.76 W, 0 %
2026/02/12 17:11:38.959, 10.52 W, 0 %
2026/02/12 17:11:39.959, 10.44 W, 0 %
2026/02/12 17:11:40.959, 10.24 W, 0 %
2026/02/12 17:11:41.959, 10.38 W, 0 %
2026/02/12 17:11:42.959, 10.36 W, 0 %
2026/02/12 17:11:43.960, 10.38 W, 0 %
2026/02/12 17:11:44.960, 10.84 W, 0 %
2026/02/12 17:11:45.960, 11.02 W, 0 %
2026/02/12 17:11:46.960, 11.05 W, 0 %
2026/02/12 17:11:47.960, 10.92 W, 0 %
2026/02/12 17:11:48.960, 10.72 W, 0 %
2026/02/12 17:11:49.960, 10.41 W, 0 %
2026/02/12 17:11:50.961, 10.36 W, 0 %
2026/02/12 17:11:51.961, 10.90 W, 0 %
2026/02/12 17:11:52.961, 10.58 W, 0 %
2026/02/12 17:11:53.961, 11.03 W, 0 %
2026/02/12 17:11:54.961, 11.02 W, 0 %
2026/02/12 17:11:55.961, 11.12 W, 0 %
