timestamp, power.draw [W], utilization.gpu [%]
2025/12/05 13:41:48.191, 12.06 W, 1 %
2025/12/05 13:41:49.194, 12.13 W, 0 %
2025/12/05 13:41:50.195, 12.17 W, 0 %
2025/12/05 13:41:51.195, 12.15 W, 0 %
2025/12/05 13:41:52.195, 12.18 W, 0 %
2025/12/05 13:41:53.195, 12.13 W, 0 %
2025/12/05 13:41:54.195, 12.12 W, 0 %
2025/12/05 13:41:55.196, 12.18 W, 0 %
2025/12/05 13:41:56.196, 12.19 W, 0 %
2025/12/05 13:41:57.196, 12.19 W, 0 %
2025/12/05 13:41:58.196, 12.23 W, 0 %
2025/12/05 13:41:59.196, 12.24 W, 0 %
2025/12/05 13:42:00.197, 12.27 W, 0 %
2025/12/05 13:42:01.197, 12.36 W, 0 %
2025/12/05 13:42:02.197, 12.45 W, 0 %
2025/12/05 13:42:03.197, 12.48 W, 0 %
2025/12/05 13:42:04.197, 12.34 W, 0 %
2025/12/05 13:42:05.198, 12.32 W, 0 %
2025/12/05 13:42:06.198, 12.30 W, 0 %
2025/12/05 13:42:07.198, 12.31 W, 0 %
2025/12/05 13:42:08.198, 12.31 W, 0 %
2025/12/05 13:42:09.199, 12.39 W, 0 %
2025/12/05 13:42:10.199, 12.47 W, 0 %
2025/12/05 13:42:11.199, 12.39 W, 0 %
2025/12/05 13:42:12.199, 12.30 W, 0 %
2025/12/05 13:42:13.199, 12.26 W, 0 %
2025/12/05 13:42:14.200, 12.30 W, 0 %
2025/12/05 13:42:15.200, 12.32 W, 0 %
2025/12/05 13:42:16.200, 12.28 W, 0 %
2025/12/05 13:42:17.200, 12.37 W, 0 %
2025/12/05 13:42:18.200, 12.29 W, 0 %
2025/12/05 13:42:19.201, 12.28 W, 0 %
2025/12/05 13:42:20.201, 12.26 W, 0 %
2025/12/05 13:42:21.201, 12.26 W, 0 %
2025/12/05 13:42:22.201, 12.33 W, 0 %
2025/12/05 13:42:23.201, 12.29 W, 0 %
2025/12/05 13:42:24.202, 12.37 W, 0 %
2025/12/05 13:42:25.202, 12.32 W, 0 %
2025/12/05 13:42:26.202, 12.35 W, 0 %
2025/12/05 13:42:27.202, 12.35 W, 0 %
