timestamp, power.draw [W], utilization.gpu [%]
2025/12/19 10:27:56.035, 14.12 W, 0 %
2025/12/19 10:27:57.038, 14.14 W, 2 %
2025/12/19 10:27:58.038, 14.05 W, 0 %
2025/12/19 10:27:59.039, 13.97 W, 0 %
2025/12/19 10:28:00.039, 14.00 W, 2 %
2025/12/19 10:28:01.039, 14.02 W, 1 %
2025/12/19 10:28:02.039, 14.19 W, 0 %
2025/12/19 10:28:03.040, 14.28 W, 1 %
2025/12/19 10:28:04.040, 13.56 W, 0 %
2025/12/19 10:28:05.040, 13.74 W, 0 %
2025/12/19 10:28:06.040, 14.07 W, 0 %
2025/12/19 10:28:07.040, 14.16 W, 0 %
2025/12/19 10:28:08.041, 14.16 W, 0 %
2025/12/19 10:28:09.041, 14.31 W, 0 %
2025/12/19 10:28:10.041, 14.28 W, 0 %
2025/12/19 10:28:11.041, 14.45 W, 0 %
2025/12/19 10:28:12.041, 14.40 W, 0 %
2025/12/19 10:28:13.042, 14.39 W, 0 %
2025/12/19 10:28:14.042, 208.46 W, 100 %
2025/12/19 10:28:15.042, 320.68 W, 100 %
2025/12/19 10:28:16.042, 321.70 W, 100 %
2025/12/19 10:28:17.042, 320.12 W, 100 %
2025/12/19 10:28:18.042, 321.61 W, 100 %
2025/12/19 10:28:19.042, 319.26 W, 100 %
2025/12/19 10:28:20.043, 319.22 W, 100 %
2025/12/19 10:28:21.043, 320.06 W, 100 %
2025/12/19 10:28:22.043, 318.89 W, 100 %
2025/12/19 10:28:23.043, 319.27 W, 100 %
2025/12/19 10:28:24.043, 319.92 W, 100 %
2025/12/19 10:28:25.043, 319.27 W, 100 %
2025/12/19 10:28:26.043, 319.47 W, 100 %
2025/12/19 10:28:27.044, 318.20 W, 100 %
2025/12/19 10:28:28.044, 318.88 W, 100 %
2025/12/19 10:28:29.044, 319.26 W, 100 %
2025/12/19 10:28:30.044, 318.08 W, 100 %
2025/12/19 10:28:31.044, 319.21 W, 100 %
2025/12/19 10:28:32.044, 318.98 W, 100 %
2025/12/19 10:28:33.044, 318.95 W, 100 %
2025/12/19 10:28:34.045, 317.99 W, 100 %
2025/12/19 10:28:35.045, 318.80 W, 100 %
2025/12/19 10:28:36.045, 318.88 W, 100 %
2025/12/19 10:28:37.045, 318.85 W, 100 %
